"","close","adjOpen","adjClose","avg_price7","change"
"536",145.53,138.7021382,139.468819,138.154509057143,"Decrease"
"537",145.74,139.7946583,139.6700727,138.389989585714,"Decrease"
"538",147.77,139.4400684,141.6155252,138.974583685714,"Decrease"
"539",149.04,141.8071954,142.8326309,139.652274728571,"Decrease"
"540",149.56,142.6217937,143.3309735,140.587351485714,"Decrease"
"541",150.08,142.9859671,143.829316,141.395104471429,"Decrease"
"542",151.02,144.2126564,144.7301659,142.211071885714,"Decrease"
"543",150.34,145.1901744,144.0784872,142.869595914286,"Decrease"
"544",150.27,143.7430644,144.0114027,143.489785914286,"Decrease"
"545",152.09,144.3084915,145.7556014,144.081225371429,"Decrease"
"546",152.74,145.4776797,146.3785296,144.587782328571,"Decrease"
"547",153.46,146.9631237,147.0685423,145.121720728571,"Decrease"
"548",150.56,147.3464641,144.2893244,145.187436214286,"Increase"
"549",149.5,143.6472293,143.2734724,144.979337142857,"Increase"
"550",148.73,143.6568128,142.5355421,144.758916414286,"Increase"
"551",150.05,142.890132,143.8005654,144.7287968,"Increase"
"552",157.14,152.646145,150.5952739,145.420178585714,"Decrease"
"553",155.57,150.5090223,149.0906629,145.8076262,"Decrease"
"554",156.39,149.5698384,149.8765107,146.208764542857,"Decrease"
"555",158.81,150.5186058,152.1957201,147.338249642857,"Decrease"
"556",160.08,151.9944664,153.4128258,148.7867287,"Decrease"
"557",161.06,152.626978,154.3520098,150.474795514286,"Decrease"
"558",155.32,153.8618872,149.4548363,151.2825485,"Increase"
"559",157.48,150.6865011,151.5332707,151.416548042857,"Decrease"
"560",159.85,153.303789,153.8137753,152.091278385714,"Decrease"
"561",161.6,154.5931882,155.4976921,152.8943043,"Decrease"
"562",160.95,155.8248531,154.8722373,153.2766639,"Decrease"
"563",157.86,154.4584749,151.8989213,153.060391828571,"Increase"
"564",157.5,151.8989213,151.5525155,152.660464071429,"Increase"
"565",157.21,151.5525155,151.2734664,152.920268371429,"Increase"
"566",159.78,152.2549494,153.7464186,153.236432357143,"Decrease"
"567",159.98,153.0632295,153.9388662,153.254302485714,"Decrease"
"568",159.27,154.3718734,153.2556771,152.934014628571,"Decrease"
"569",159.86,153.6213276,153.8233977,152.7841804,"Decrease"
"570",161.47,154.0928243,155.3726011,153.280420371429,"Decrease"
"571",162.91,154.0543348,156.7582241,154.024093028571,"Decrease"
"572",163.35,157.6146161,157.1816089,154.868113385714,"Decrease"
"573",164,157.460658,157.8070638,155.448205557143,"Decrease"
"574",164.05,158.5768543,157.8551757,156.007678342857,"Decrease"
"575",162.08,157.5665042,155.9595664,156.393948242857,"Increase"
"576",161.91,156.5657765,155.7959859,156.675746557143,"Increase"
"577",161.26,155.9691888,155.1705311,156.646879414286,"Increase"
"578",158.63,154.7856358,152.6398447,156.0585395,"Increase"
"579",161.5,154.4392301,155.4014683,155.8042337,"Increase"
"580",160.86,156.4695527,154.7856358,155.372601128571,"Increase"
"581",159.65,153.83302,153.6213276,154.767765685714,"Increase"
"582",158.28,152.9862504,152.3030613,154.245407814286,"Increase"
"583",159.88,152.4858866,153.8426424,153.966358742857,"Increase"
"584",158.67,154.0639572,152.6783342,153.610330614286,"Increase"
"585",158.73,153.4866143,152.7360685,153.624076871429,"Increase"
"586",156.07,151.9374108,150.1765149,152.877654957143,"Increase"
"587",153.39,149.9167106,147.5977165,151.850809342857,"Increase"
"588",151.89,146.2794502,146.1543592,150.784099571429,"Increase"
"589",150.55,144.3261067,144.8649601,149.721513685714,"Increase"
"590",153.14,146.048513,147.357157,148.795015771429,"Increase"
"591",154.23,147.9922342,148.4059966,148.184681828571,"Decrease"
"592",153.28,148.0788356,147.4918703,147.435510657143,"Decrease"
"593",154.12,147.4245137,148.3001504,147.167458585714,"Decrease"
"594",153.81,148.4348638,148.0018566,147.225192885714,"Decrease"
